customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,monthly_charges,total_charges,sentiment_score,complaint_theme,churn
CUST-00018,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),77.2,1315.71,0.043,competitor_offer,1
CUST-00019,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,90.84,6045.22,-0.203,billing_dispute,1
CUST-00020,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,49.5,815.82,0.787,none,1
CUST-00021,Female,1,No,No,33,Yes,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,57.3,1939.82,0.116,none,0
CUST-00022,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),109.36,3198.32,-0.105,contract_confusion,1
CUST-00023,Female,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Electronic check,114.12,2098.48,0.018,contract_confusion,0
CUST-00024,Female,1,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,91.98,758.2,0.56,competitor_offer,0
CUST-00025,Female,0,No,No,39,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),92.94,3655.76,0.692,none,1
CUST-00026,Female,0,No,No,43,Yes,No,DSL,No,Yes,One year,Yes,Bank transfer (automatic),87.44,3786.71,0.778,none,0
CUST-00027,Female,0,No,Yes,58,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,76.72,4460.75,0.044,contract_confusion,0
CUST-00028,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,77.51,1898.43,0.139,speed_issues,1
CUST-00029,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.38,8009.34,0.285,billing_dispute,1
CUST-00030,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,93.09,4858.8,-0.256,none,0
CUST-00031,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Month-to-month,No,Bank transfer (automatic),83.53,3969.41,0.301,service_outage,1
CUST-00032,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),36.91,2608.83,0.134,speed_issues,0
CUST-00033,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,115.71,6020.8,0.867,service_outage,0
CUST-00034,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),70.03,3371.82,0.032,contract_confusion,0
CUST-00035,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Credit card (automatic),112.37,4725.02,0.189,none,0
CUST-00036,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Month-to-month,No,Bank transfer (automatic),89.36,1622.36,0.894,none,0
CUST-00037,Female,1,No,No,65,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,22.01,1438.92,-0.076,billing_dispute,0
CUST-00038,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.9,2408.3,0.275,contract_confusion,0
CUST-00039,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,One year,Yes,Credit card (automatic),107.27,5718.28,0.477,none,0
CUST-00040,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,23.18,6.75,0.004,none,0
CUST-00041,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.67,5674.43,0.55,billing_dispute,1
CUST-00042,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,One year,No,Electronic check,79.34,1125.55,0.109,service_outage,0
CUST-00043,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,22.45,331.16,0.183,service_outage,1
CUST-00044,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),55.36,1246.72,-0.509,none,0
CUST-00045,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,21.02,1411.23,0.266,service_outage,0
CUST-00046,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,One year,No,Electronic check,18.17,862.52,-0.106,competitor_offer,0
CUST-00047,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,107.64,881.77,-0.157,contract_confusion,1
CUST-00048,Male,0,No,No,65,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Mailed check,92.86,6055.56,0.517,competitor_offer,0
CUST-00049,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,46.95,3077.65,0.379,speed_issues,0
CUST-00050,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,Two year,No,Mailed check,29.37,523.0,-0.225,competitor_offer,0
CUST-00051,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.44,378.13,-0.326,none,0
CUST-00052,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card (automatic),109.72,7819.06,-0.566,service_outage,1
CUST-00053,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,80.56,2687.72,0.692,billing_dispute,0
CUST-00054,Female,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.06,2338.6,-1.0,contract_confusion,1
CUST-00055,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,86.15,5448.15,0.335,contract_confusion,0
CUST-00056,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Two year,Yes,Mailed check,117.89,5116.22,-0.328,contract_confusion,1
CUST-00057,Female,0,No,No,28,Yes,No,Fiber optic,No,No,One year,No,Credit card (automatic),96.8,2740.44,0.603,speed_issues,0
CUST-00058,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Two year,No,Electronic check,62.65,3862.46,0.569,contract_confusion,0
CUST-00059,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,One year,No,Electronic check,99.42,1538.99,-0.116,none,0
CUST-00060,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,92.43,4754.44,-0.034,none,1
CUST-00061,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,Month-to-month,No,Credit card (automatic),26.87,74.02,0.155,speed_issues,0
CUST-00062,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,One year,No,Electronic check,110.57,6672.16,-0.046,service_outage,1
CUST-00063,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,106.41,327.74,0.579,billing_dispute,1
CUST-00064,Male,0,No,Yes,51,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.06,3941.41,0.209,service_outage,1
CUST-00065,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,68.81,2762.09,0.58,competitor_offer,1
CUST-00066,Female,0,No,No,51,Yes,Yes,DSL,No,No,Two year,Yes,Electronic check,40.77,2095.38,0.121,none,0
CUST-00067,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,101.45,3061.25,0.783,none,0
CUST-00068,Male,1,No,Yes,25,Yes,Yes,DSL,Yes,No,Two year,Yes,Mailed check,61.19,1570.31,-0.414,contract_confusion,0
CUST-00069,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,Two year,Yes,Mailed check,75.93,1992.22,0.027,competitor_offer,0
CUST-00070,Female,0,No,No,50,Yes,No,Fiber optic,No,Yes,One year,No,Bank transfer (automatic),35.01,1786.86,0.469,speed_issues,0
CUST-00071,Female,0,No,No,47,Yes,No,Fiber optic,No,No,Two year,No,Electronic check,39.38,1896.05,-0.124,none,0
CUST-00072,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,116.52,1170.93,-0.263,service_outage,1
CUST-00073,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.4,471.81,-0.491,contract_confusion,1
CUST-00074,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.57,1139.7,0.323,none,1
CUST-00075,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,100.97,4454.59,0.571,none,0
CUST-00076,Female,1,No,Yes,33,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),116.15,3840.62,0.06,speed_issues,0
CUST-00077,Female,1,Yes,No,71,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),116.29,8271.35,0.436,service_outage,1
CUST-00078,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),63.7,2939.5,0.97,service_outage,0
CUST-00079,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Two year,Yes,Credit card (automatic),113.03,2300.28,0.572,speed_issues,0
CUST-00080,Female,0,Yes,No,40,Yes,No,DSL,Yes,Yes,One year,No,Credit card (automatic),54.55,2213.73,0.527,billing_dispute,0
CUST-00081,Male,1,No,No,21,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),78.76,1662.33,0.024,service_outage,0
CUST-00082,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.17,2032.58,0.042,contract_confusion,1
CUST-00083,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,109.38,2963.66,0.344,competitor_offer,0
CUST-00084,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,70.38,4654.96,0.19,none,0
CUST-00085,Male,0,Yes,No,70,Yes,No,DSL,No,No,One year,No,Bank transfer (automatic),59.79,4215.07,0.389,speed_issues,0
CUST-00086,Male,1,No,Yes,13,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Mailed check,90.85,1214.28,-0.851,billing_dispute,1
CUST-00087,Female,0,No,No,51,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,63.59,3260.4,-0.036,service_outage,0
CUST-00088,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.18,3615.73,0.641,competitor_offer,0
CUST-00089,Female,0,No,No,70,Yes,No,DSL,No,No,Two year,No,Credit card (automatic),98.42,6931.26,-0.545,none,0
CUST-00090,Female,0,No,No,18,Yes,Yes,DSL,No,No,One year,Yes,Mailed check,102.11,1883.8,-0.106,billing_dispute,1
CUST-00091,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),43.43,1160.48,0.103,speed_issues,1
CUST-00092,Female,0,Yes,No,17,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,1288.55,-0.53,service_outage,1
CUST-00093,Female,1,Yes,Yes,12,No,No phone service,Fiber optic,Yes,No,Month-to-month,No,Electronic check,20.5,283.42,0.433,none,1
CUST-00094,Female,1,Yes,Yes,0,Yes,Yes,DSL,Yes,No,One year,Yes,Electronic check,97.78,5.39,0.356,service_outage,0
CUST-00095,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,One year,No,Credit card (automatic),30.51,1015.89,-0.594,none,1
CUST-00096,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),105.17,1303.68,0.067,none,1
CUST-00097,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,Two year,No,Credit card (automatic),58.68,2979.54,0.097,none,0
CUST-00098,Female,0,Yes,No,0,No,No phone service,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,34.73,3.34,0.458,speed_issues,0
CUST-00099,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,97.58,2650.27,0.493,competitor_offer,1
CUST-00100,Male,0,Yes,No,31,No,No phone service,DSL,Yes,No,Month-to-month,No,Credit card (automatic),38.03,1210.39,0.525,competitor_offer,0
CUST-00101,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Two year,Yes,Credit card (automatic),57.44,4125.17,0.621,contract_confusion,0
CUST-00102,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,Two year,No,Credit card (automatic),74.69,4061.8,0.283,none,0
CUST-00103,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,54.0,1391.05,0.803,none,1
CUST-00104,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),35.9,512.84,0.433,none,0
CUST-00105,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.61,3952.82,0.183,none,0
CUST-00106,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),32.42,2047.06,0.896,service_outage,0
CUST-00107,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),89.92,1202.08,-0.1,speed_issues,0
CUST-00108,Female,0,No,No,26,No,No phone service,Fiber optic,No,Yes,One year,Yes,Bank transfer (automatic),35.15,947.47,0.243,service_outage,0
CUST-00109,Female,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.24,2675.45,0.285,contract_confusion,1
CUST-00110,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.04,179.24,0.409,contract_confusion,1
CUST-00111,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,112.51,6553.3,0.015,billing_dispute,1
CUST-00112,Male,0,No,No,22,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),25.83,600.15,-0.05,service_outage,0
CUST-00113,Female,0,No,No,17,Yes,No,DSL,Yes,No,Two year,No,Electronic check,111.05,1913.11,0.658,speed_issues,0
CUST-00114,Female,0,Yes,No,40,No,No phone service,Fiber optic,Yes,No,One year,No,Credit card (automatic),38.82,1563.92,-0.259,none,0
CUST-00115,Male,0,No,No,7,Yes,No,DSL,No,Yes,Two year,Yes,Credit card (automatic),102.09,749.31,0.689,billing_dispute,1
CUST-00116,Female,1,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,One year,No,Credit card (automatic),27.05,857.75,0.167,none,0
CUST-00117,Male,1,No,No,40,Yes,Yes,Fiber optic,No,No,One year,No,Electronic check,116.87,4681.19,0.301,speed_issues,1
CUST-00118,Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,98.76,4388.01,-0.001,none,1
CUST-00119,Female,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,One year,No,Electronic check,24.3,203.47,0.115,contract_confusion,1
CUST-00120,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Mailed check,39.41,1879.31,0.604,none,0
CUST-00121,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,One year,No,Electronic check,72.85,1711.61,0.018,competitor_offer,1
CUST-00122,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,70.36,3057.87,-0.506,none,0
CUST-00123,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,80.93,4621.05,0.22,competitor_offer,0
CUST-00124,Male,0,No,Yes,65,Yes,No,Fiber optic,No,No,One year,No,Mailed check,64.35,4192.46,-0.097,speed_issues,0
CUST-00125,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,91.42,1561.58,-0.171,speed_issues,0
CUST-00126,Female,0,No,No,28,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,52.85,1483.43,-0.064,competitor_offer,1
CUST-00127,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,35.64,49.8,1.0,billing_dispute,1
CUST-00128,Male,0,No,No,67,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),21.38,1458.67,0.127,competitor_offer,1
CUST-00129,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,Two year,No,Mailed check,50.48,1926.89,0.006,contract_confusion,0
CUST-00130,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,Two year,No,Electronic check,60.69,2476.14,0.539,none,0
CUST-00131,Female,0,No,Yes,70,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,83.91,5908.64,0.418,service_outage,1
CUST-00132,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,98.65,2100.82,0.664,speed_issues,0
CUST-00133,Male,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,42.01,2050.55,0.781,billing_dispute,1
CUST-00134,Male,0,No,No,27,Yes,No,DSL,No,No,One year,No,Bank transfer (automatic),67.32,1839.44,1.0,none,1
CUST-00135,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Two year,No,Credit card (automatic),41.37,644.05,-0.096,contract_confusion,0
CUST-00136,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,One year,Yes,Electronic check,113.12,7623.47,0.592,service_outage,0
CUST-00137,Male,0,No,No,61,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.75,5083.85,-0.085,billing_dispute,1
CUST-00138,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Two year,Yes,Credit card (automatic),85.79,3032.06,0.125,none,0
CUST-00139,Male,0,No,No,21,Yes,Yes,DSL,No,No,Two year,Yes,Mailed check,71.12,1541.03,0.412,none,0
CUST-00140,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.18,494.93,0.23,speed_issues,0
CUST-00141,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,38.04,1579.57,0.342,billing_dispute,1
CUST-00142,Male,0,No,Yes,54,No,No phone service,Fiber optic,Yes,No,Two year,No,Credit card (automatic),83.66,4520.01,0.128,contract_confusion,0
CUST-00143,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Two year,No,Electronic check,110.17,3765.31,-0.16,competitor_offer,0
CUST-00144,Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,39.29,2246.48,0.51,speed_issues,0
CUST-00145,Female,1,No,Yes,33,Yes,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),75.18,2483.17,-0.272,service_outage,0
CUST-00146,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,Two year,No,Bank transfer (automatic),70.93,4903.4,0.775,none,0
CUST-00147,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,82.17,286.95,0.181,none,1
CUST-00148,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,76.78,3473.35,0.608,speed_issues,0
CUST-00149,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.28,462.09,0.977,contract_confusion,1
CUST-00150,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.14,5269.18,0.281,none,0
CUST-00151,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,45.27,1567.1,-0.217,service_outage,0
CUST-00152,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.3,5691.82,0.677,contract_confusion,1
CUST-00153,Male,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,47.99,2702.13,0.104,none,1
CUST-00154,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card (automatic),26.24,296.16,-0.272,none,1
CUST-00155,Male,1,Yes,No,11,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,30.72,381.01,0.581,speed_issues,1
CUST-00156,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,101.41,4296.73,0.447,billing_dispute,0
CUST-00157,Male,0,Yes,No,18,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,30.14,573.14,0.27,contract_confusion,0
CUST-00158,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),51.05,3437.88,-0.126,competitor_offer,0
CUST-00159,Male,0,No,No,58,Yes,No,Fiber optic,Yes,No,One year,No,Bank transfer (automatic),46.76,2754.82,0.696,none,0
CUST-00160,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,Two year,No,Mailed check,23.79,52.1,0.621,competitor_offer,0
CUST-00161,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),77.95,590.13,0.189,speed_issues,0
CUST-00162,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Credit card (automatic),97.88,2068.19,0.844,none,0
CUST-00163,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,Two year,No,Mailed check,117.23,2377.31,0.592,none,0
CUST-00164,Female,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,111.6,3171.56,-0.076,service_outage,0
CUST-00165,Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.93,844.18,0.012,billing_dispute,0
CUST-00166,Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,One year,No,Electronic check,43.75,1272.56,0.343,service_outage,1
CUST-00167,Female,0,Yes,No,36,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,59.21,2151.18,0.135,contract_confusion,0
CUST-00168,Male,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Two year,No,Credit card (automatic),105.5,2131.88,0.294,speed_issues,0
CUST-00169,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer (automatic),54.01,634.43,-0.205,billing_dispute,0
CUST-00170,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,Two year,No,Electronic check,75.03,3539.45,-0.076,speed_issues,0
CUST-00171,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,83.96,3897.45,0.23,speed_issues,0
CUST-00172,Male,0,No,No,14,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card (automatic),47.8,684.12,0.302,speed_issues,1
CUST-00173,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,76.19,5058.23,0.285,service_outage,0
CUST-00174,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card (automatic),23.09,315.88,-0.313,contract_confusion,0
CUST-00175,Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,66.02,3830.47,0.264,contract_confusion,1
CUST-00176,Female,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),55.85,674.62,0.599,none,0
CUST-00177,Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,One year,No,Mailed check,53.58,3850.9,0.038,none,1
CUST-00178,Male,0,Yes,No,18,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Mailed check,41.49,787.61,-0.08,none,0
CUST-00179,Male,0,No,No,56,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.77,5630.97,0.025,none,1
CUST-00180,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,Electronic check,106.19,3313.84,0.071,service_outage,1
CUST-00181,Male,0,Yes,No,20,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.81,2172.02,0.673,competitor_offer,1
CUST-00182,Male,0,No,Yes,13,Yes,Yes,DSL,Yes,Yes,Two year,No,Mailed check,57.61,798.84,-0.307,billing_dispute,0
CUST-00183,Female,0,No,No,23,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,43.92,1031.79,-0.2,none,0
CUST-00184,Male,0,No,No,48,No,No phone service,Fiber optic,No,No,Month-to-month,Yes,Electronic check,27.84,1378.66,-0.637,billing_dispute,1
CUST-00185,Male,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,85.24,2646.4,0.672,service_outage,1
