customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,monthly_charges,total_charges,sentiment_score,complaint_theme,churn,tenure_group,revenue_risk,service_count,sentiment_tier,high_risk_complaint,manual_risk_score,gender_enc,partner_enc,dependents_enc,phone_service_enc,paperless_billing_enc,online_security_enc,tech_support_enc,contract_enc,internet_service_enc,payment_method_enc,complaint_severity,sentiment_tier_enc,churn_probability,churn_risk_label
CUST-00013,Male,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.03,1023.53,0.505,competitor_offer,0,0-12m,9.185,4,positive,1,3.5,1,0,0,1,0,1,1,0,1,2,3,2,0.8804,High
CUST-00014,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.23,347.85,0.271,service_outage,0,0-12m,10.705,2,neutral,1,3.5,1,0,0,1,1,0,0,0,0,3,2,1,0.6004,High
CUST-00015,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,51.36,2615.48,0.78,service_outage,0,49-72m,1.007,2,positive,1,2.8,0,1,0,1,0,0,0,0,1,0,2,2,0.6149,High
CUST-00016,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Bank transfer (automatic),35.71,2081.58,0.026,service_outage,0,49-72m,0.616,5,neutral,1,0.8,1,0,0,1,1,1,1,2,1,2,2,1,0.1262,Low
CUST-00017,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,One year,No,Mailed check,99.48,5882.91,0.469,billing_dispute,0,49-72m,1.658,3,positive,1,1.4,0,0,1,1,0,0,1,1,2,1,2,2,0.2729,Low
CUST-00018,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),77.2,1315.71,0.043,competitor_offer,1,13-24m,4.289,2,neutral,1,2.3,0,0,0,1,0,0,0,0,0,2,3,1,0.8285,High
CUST-00019,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,90.84,6045.22,-0.203,billing_dispute,1,49-72m,1.356,3,neutral,1,3.4,0,0,0,1,0,1,0,0,2,0,2,1,0.7625,High
CUST-00020,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,49.5,815.82,0.787,none,1,13-24m,2.912,3,positive,0,2.6,1,1,1,1,1,0,1,0,2,0,0,2,0.9406,High
CUST-00021,Female,1,No,No,33,Yes,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,57.3,1939.82,0.116,none,0,25-48m,1.685,5,neutral,0,0.5,0,0,0,1,1,1,1,1,1,0,0,1,0.2422,Low
CUST-00022,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),109.36,3198.32,-0.105,contract_confusion,1,25-48m,3.645,3,neutral,0,1.5,1,0,1,1,1,1,0,0,1,3,1,1,0.769,High
CUST-00023,Female,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Electronic check,114.12,2098.48,0.018,contract_confusion,0,13-24m,6.006,0,neutral,0,2.0,0,1,0,0,0,0,0,0,0,0,1,1,0.6221,High
CUST-00024,Female,1,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,91.98,758.2,0.56,competitor_offer,0,0-12m,10.22,4,positive,1,2.6,0,0,1,1,1,0,1,2,2,1,3,2,0.45,Medium
CUST-00025,Female,0,No,No,39,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),92.94,3655.76,0.692,none,1,25-48m,2.324,3,positive,0,1.5,0,0,0,1,1,1,0,0,1,3,0,2,0.6115,High
CUST-00026,Female,0,No,No,43,Yes,No,DSL,No,Yes,One year,Yes,Bank transfer (automatic),87.44,3786.71,0.778,none,0,25-48m,1.987,3,positive,0,0.0,0,0,0,1,1,0,1,1,1,2,0,2,0.2099,Low
CUST-00027,Female,0,No,Yes,58,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,76.72,4460.75,0.044,contract_confusion,0,49-72m,1.3,2,neutral,0,1.5,0,0,1,1,1,0,0,0,1,1,1,1,0.584,Medium
CUST-00028,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,77.51,1898.43,0.139,speed_issues,1,13-24m,3.1,2,neutral,0,2.1,0,0,0,1,0,1,0,0,2,1,1,1,0.7186,High
CUST-00029,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.38,8009.34,0.285,billing_dispute,1,49-72m,1.611,5,neutral,1,2.9,0,0,1,1,1,1,1,0,2,2,2,1,0.889,High
CUST-00030,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,93.09,4858.8,-0.256,none,0,49-72m,1.756,3,neutral,0,2.1,0,0,0,1,1,0,0,0,2,1,0,1,0.6597,High
CUST-00031,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Month-to-month,No,Bank transfer (automatic),83.53,3969.41,0.301,service_outage,1,25-48m,1.74,2,neutral,1,2.3,1,1,0,1,0,0,1,0,1,2,2,1,0.8563,High
CUST-00032,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),36.91,2608.83,0.134,speed_issues,0,49-72m,0.52,3,neutral,0,1.5,1,1,1,1,0,1,1,0,1,2,1,1,0.2301,Low
CUST-00033,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,115.71,6020.8,0.867,service_outage,0,49-72m,2.183,4,positive,1,2.3,0,0,0,1,1,1,1,0,1,1,2,2,0.4977,Medium
CUST-00034,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),70.03,3371.82,0.032,contract_confusion,0,25-48m,1.429,2,neutral,0,1.5,0,1,1,1,1,0,0,0,0,3,1,1,0.4558,Medium
CUST-00035,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Credit card (automatic),112.37,4725.02,0.189,none,0,25-48m,2.613,2,neutral,0,2.1,0,0,0,0,0,1,1,0,2,3,0,1,0.6102,High
CUST-00036,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Month-to-month,No,Bank transfer (automatic),89.36,1622.36,0.894,none,0,13-24m,4.703,2,positive,0,1.5,1,1,0,1,0,1,0,0,1,2,0,2,0.6086,High
CUST-00037,Female,1,No,No,65,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,22.01,1438.92,-0.076,billing_dispute,0,49-72m,0.333,2,neutral,1,2.3,0,0,0,1,1,0,0,0,1,1,2,1,0.4891,Medium
CUST-00038,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.9,2408.3,0.275,contract_confusion,0,25-48m,2.115,3,neutral,0,2.1,1,1,0,1,1,0,1,0,2,2,1,1,0.7731,High
CUST-00039,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,One year,Yes,Credit card (automatic),107.27,5718.28,0.477,none,0,49-72m,1.986,3,positive,0,0.6,1,0,0,1,1,0,0,1,2,3,0,2,0.2201,Low
CUST-00040,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,23.18,6.75,0.004,none,0,0-12m,23.18,5,neutral,0,1.7,1,1,0,1,1,1,1,1,1,0,0,1,0.3629,Medium
CUST-00041,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.67,5674.43,0.55,billing_dispute,1,49-72m,1.903,3,positive,1,2.9,1,1,0,1,0,1,1,0,2,2,2,2,0.6789,High
CUST-00042,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,One year,No,Electronic check,79.34,1125.55,0.109,service_outage,0,13-24m,5.289,2,neutral,1,1.9,1,0,1,0,0,1,1,1,2,0,2,1,0.6057,High
CUST-00043,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,22.45,331.16,0.183,service_outage,1,13-24m,1.497,3,neutral,1,2.9,0,0,0,1,0,1,1,0,2,1,2,1,0.785,High
CUST-00044,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),55.36,1246.72,-0.509,none,0,13-24m,2.407,2,negative,0,2.5,0,1,1,1,0,0,0,0,0,3,0,0,0.5662,Medium
CUST-00045,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,21.02,1411.23,0.266,service_outage,0,49-72m,0.318,3,neutral,1,2.8,0,1,1,1,1,0,1,0,1,0,2,1,0.5669,Medium
CUST-00046,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,One year,No,Electronic check,18.17,862.52,-0.106,competitor_offer,0,25-48m,0.395,0,neutral,1,1.3,0,0,0,0,0,0,0,1,0,0,3,1,0.5341,Medium
CUST-00047,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,107.64,881.77,-0.157,contract_confusion,1,0-12m,11.96,2,neutral,0,2.3,0,1,0,1,0,0,1,1,2,0,1,1,0.8029,High
CUST-00048,Male,0,No,No,65,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Mailed check,92.86,6055.56,0.517,competitor_offer,0,49-72m,1.407,5,positive,1,0.8,1,0,0,1,1,1,1,2,1,1,3,2,0.5806,Medium
CUST-00049,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,46.95,3077.65,0.379,speed_issues,0,49-72m,0.711,2,positive,0,0.5,0,1,0,1,0,0,0,2,0,0,1,2,0.0296,Low
CUST-00050,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,Two year,No,Mailed check,29.37,523.0,-0.225,competitor_offer,0,13-24m,1.632,3,neutral,1,1.4,0,1,0,1,0,1,1,2,2,1,3,1,0.5677,Medium
CUST-00051,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.44,378.13,-0.326,none,0,13-24m,1.379,3,neutral,0,2.5,1,0,0,1,1,0,0,0,0,2,0,1,0.2321,Low
CUST-00052,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card (automatic),109.72,7819.06,-0.566,service_outage,1,49-72m,1.524,2,negative,1,3.3,0,0,1,1,0,0,0,0,1,3,2,0,0.8405,High
CUST-00053,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,80.56,2687.72,0.692,billing_dispute,0,25-48m,2.369,3,positive,1,3.4,1,0,0,1,0,1,0,0,2,0,2,2,0.6622,High
CUST-00054,Female,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.06,2338.6,-1.0,contract_confusion,1,49-72m,0.494,3,negative,0,2.5,0,1,0,1,1,0,0,0,0,2,1,0,0.8378,High
CUST-00055,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,86.15,5448.15,0.335,contract_confusion,0,49-72m,1.346,4,positive,0,2.0,1,1,0,1,1,1,1,0,1,0,1,2,0.3586,Medium
CUST-00056,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Two year,Yes,Mailed check,117.89,5116.22,-0.328,contract_confusion,1,25-48m,2.679,3,neutral,0,1.6,0,1,0,1,1,1,0,2,2,1,1,1,0.6134,High
CUST-00057,Female,0,No,No,28,Yes,No,Fiber optic,No,No,One year,No,Credit card (automatic),96.8,2740.44,0.603,speed_issues,0,25-48m,3.338,1,positive,0,0.6,0,0,0,1,0,0,0,1,2,3,1,2,0.5797,Medium
CUST-00058,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Two year,No,Electronic check,62.65,3862.46,0.569,contract_confusion,0,49-72m,1.01,3,positive,0,1.1,1,1,0,1,0,1,0,2,2,0,1,2,0.1265,Low
CUST-00059,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,One year,No,Electronic check,99.42,1538.99,-0.116,none,0,13-24m,6.214,1,neutral,0,0.5,1,1,0,1,0,0,0,1,0,0,0,1,0.4445,Medium
CUST-00060,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,92.43,4754.44,-0.034,none,1,49-72m,1.778,3,neutral,0,1.1,1,0,0,1,1,0,0,1,2,0,0,1,0.6556,High
CUST-00061,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,Month-to-month,No,Credit card (automatic),26.87,74.02,0.155,speed_issues,0,0-12m,13.435,3,neutral,0,2.7,1,1,0,1,0,0,1,0,1,3,1,1,0.6925,High
CUST-00062,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,One year,No,Electronic check,110.57,6672.16,-0.046,service_outage,1,49-72m,1.813,3,neutral,1,1.9,1,1,1,1,0,0,1,1,2,0,2,1,0.7205,High
CUST-00063,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,106.41,327.74,0.579,billing_dispute,1,0-12m,26.602,3,positive,1,4.6,1,0,1,1,1,1,0,0,2,0,2,2,0.8484,High
CUST-00064,Male,0,No,Yes,51,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.06,3941.41,0.209,service_outage,1,49-72m,1.482,3,neutral,1,2.3,1,0,1,1,1,1,0,0,1,2,2,1,0.6937,High
CUST-00065,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,68.81,2762.09,0.58,competitor_offer,1,25-48m,1.678,3,positive,1,3.4,1,0,0,1,0,0,1,0,2,0,3,2,0.9449,High
CUST-00066,Female,0,No,No,51,Yes,Yes,DSL,No,No,Two year,Yes,Electronic check,40.77,2095.38,0.121,none,0,49-72m,0.784,3,neutral,0,0.5,0,0,0,1,1,0,0,2,1,0,0,1,0.2058,Low
CUST-00067,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,101.45,3061.25,0.783,none,0,25-48m,3.273,4,positive,0,0.5,0,0,0,1,1,1,1,2,1,0,0,2,0.0689,Low
CUST-00068,Male,1,No,Yes,25,Yes,Yes,DSL,Yes,No,Two year,Yes,Mailed check,61.19,1570.31,-0.414,contract_confusion,0,25-48m,2.353,4,negative,0,1.0,1,0,1,1,1,1,0,2,1,1,1,0,0.3289,Medium
CUST-00069,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,Two year,Yes,Mailed check,75.93,1992.22,0.027,competitor_offer,0,25-48m,2.812,3,neutral,1,1.4,0,0,0,1,1,0,0,2,2,1,3,1,0.4154,Medium
CUST-00070,Female,0,No,No,50,Yes,No,Fiber optic,No,Yes,One year,No,Bank transfer (automatic),35.01,1786.86,0.469,speed_issues,0,49-72m,0.686,2,positive,0,0.6,0,0,0,1,0,0,1,1,2,2,1,2,0.5116,Medium
CUST-00071,Female,0,No,No,47,Yes,No,Fiber optic,No,No,Two year,No,Electronic check,39.38,1896.05,-0.124,none,0,25-48m,0.82,1,neutral,0,1.1,0,0,0,1,0,0,0,2,2,0,0,1,0.3845,Medium
CUST-00072,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,116.52,1170.93,-0.263,service_outage,1,0-12m,10.593,4,neutral,1,4.1,0,1,0,1,1,1,0,0,2,1,2,1,0.9273,High
CUST-00073,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.4,471.81,-0.491,contract_confusion,1,0-12m,8.425,3,negative,0,3.7,1,0,0,1,0,1,1,0,1,2,1,0,0.957,High
CUST-00074,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.57,1139.7,0.323,none,1,0-12m,8.298,3,neutral,0,3.8,0,0,1,1,1,0,0,0,2,0,0,1,0.9259,High
CUST-00075,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,100.97,4454.59,0.571,none,0,25-48m,2.244,4,positive,0,1.5,1,1,1,1,1,0,1,0,1,1,0,2,0.722,High
CUST-00076,Female,1,No,Yes,33,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),116.15,3840.62,0.06,speed_issues,0,25-48m,3.416,2,neutral,0,0.6,0,0,1,1,1,0,0,2,2,2,1,1,0.298,Low
CUST-00077,Female,1,Yes,No,71,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),116.29,8271.35,0.436,service_outage,1,49-72m,1.615,4,positive,1,2.3,0,1,0,1,1,0,1,0,1,3,2,2,0.7326,High
CUST-00078,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),63.7,2939.5,0.97,service_outage,0,25-48m,1.355,2,positive,1,1.4,0,1,1,1,1,0,0,2,2,2,2,2,0.2891,Low
CUST-00079,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Two year,Yes,Credit card (automatic),113.03,2300.28,0.572,speed_issues,0,13-24m,5.382,3,positive,0,0.6,1,0,0,1,1,0,1,2,2,3,1,2,0.1693,Low
CUST-00080,Female,0,Yes,No,40,Yes,No,DSL,Yes,Yes,One year,No,Credit card (automatic),54.55,2213.73,0.527,billing_dispute,0,25-48m,1.33,3,positive,1,0.8,0,1,0,1,0,1,1,1,1,3,2,2,0.3065,Medium
CUST-00081,Male,1,No,No,21,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),78.76,1662.33,0.024,service_outage,0,13-24m,3.58,4,neutral,1,2.3,1,0,0,1,0,1,1,0,1,3,2,1,0.7038,High
CUST-00082,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.17,2032.58,0.042,contract_confusion,1,13-24m,4.77,3,neutral,0,2.1,0,0,0,1,1,1,0,0,2,2,1,1,0.7152,High
CUST-00083,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,109.38,2963.66,0.344,competitor_offer,0,25-48m,3.906,3,positive,1,3.4,1,1,1,1,0,1,0,0,2,0,3,2,0.6713,High
CUST-00084,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,70.38,4654.96,0.19,none,0,49-72m,1.05,3,neutral,0,2.0,0,1,0,1,1,0,0,0,0,0,0,1,0.354,Medium
CUST-00085,Male,0,Yes,No,70,Yes,No,DSL,No,No,One year,No,Bank transfer (automatic),59.79,4215.07,0.389,speed_issues,0,49-72m,0.842,1,positive,0,0.0,1,1,0,1,0,0,0,1,1,2,1,2,0.2298,Low
CUST-00086,Male,1,No,Yes,13,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Mailed check,90.85,1214.28,-0.851,billing_dispute,1,13-24m,6.489,0,negative,1,3.3,1,0,1,0,0,0,0,0,0,1,2,0,0.763,High
CUST-00087,Female,0,No,No,51,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,63.59,3260.4,-0.036,service_outage,0,49-72m,1.223,1,neutral,1,2.8,0,0,0,1,0,0,0,0,1,0,2,1,0.6947,High
CUST-00088,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.18,3615.73,0.641,competitor_offer,0,25-48m,1.981,4,positive,1,2.3,1,1,0,1,1,1,1,0,1,2,3,2,0.7266,High
CUST-00089,Female,0,No,No,70,Yes,No,DSL,No,No,Two year,No,Credit card (automatic),98.42,6931.26,-0.545,none,0,49-72m,1.386,1,negative,0,1.0,0,0,0,1,0,0,0,2,1,3,0,0,0.2747,Low
CUST-00090,Female,0,No,No,18,Yes,Yes,DSL,No,No,One year,Yes,Mailed check,102.11,1883.8,-0.106,billing_dispute,1,13-24m,5.374,3,neutral,1,0.8,0,0,0,1,1,0,0,1,1,1,2,1,0.7545,High
CUST-00091,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),43.43,1160.48,0.103,speed_issues,1,25-48m,1.609,2,neutral,0,0.6,0,1,0,1,1,0,0,2,2,2,1,1,0.4857,Medium
CUST-00092,Female,0,Yes,No,17,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,1288.55,-0.53,service_outage,1,13-24m,4.175,2,negative,1,3.3,0,1,0,1,1,0,0,0,1,2,2,0,0.8708,High
CUST-00093,Female,1,Yes,Yes,12,No,No phone service,Fiber optic,Yes,No,Month-to-month,No,Electronic check,20.5,283.42,0.433,none,1,0-12m,1.577,1,positive,0,2.6,0,1,1,0,0,1,0,0,2,0,0,2,0.6399,High
CUST-00094,Female,1,Yes,Yes,0,Yes,Yes,DSL,Yes,No,One year,Yes,Electronic check,97.78,5.39,0.356,service_outage,0,0-12m,97.78,4,positive,1,2.5,0,1,1,1,1,1,0,1,1,0,2,2,0.5315,Medium
CUST-00095,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,One year,No,Credit card (automatic),30.51,1015.89,-0.594,none,1,25-48m,0.897,3,negative,0,1.6,0,1,1,1,0,1,0,1,2,3,0,0,0.7966,High
CUST-00096,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),105.17,1303.68,0.067,none,1,0-12m,8.09,1,neutral,0,1.5,0,1,0,1,0,0,0,0,0,3,0,1,0.8426,High
CUST-00097,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,Two year,No,Credit card (automatic),58.68,2979.54,0.097,none,0,49-72m,1.151,2,neutral,0,0.6,0,1,0,1,0,0,1,2,2,3,0,1,0.1974,Low
CUST-00098,Female,0,Yes,No,0,No,No phone service,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,34.73,3.34,0.458,speed_issues,0,0-12m,34.73,3,positive,0,1.8,0,1,0,0,1,1,1,2,2,1,1,2,0.3637,Medium
CUST-00099,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,97.58,2650.27,0.493,competitor_offer,1,25-48m,3.485,4,positive,1,2.8,0,1,0,1,1,0,1,0,1,0,3,2,0.9063,High
CUST-00100,Male,0,Yes,No,31,No,No phone service,DSL,Yes,No,Month-to-month,No,Credit card (automatic),38.03,1210.39,0.525,competitor_offer,0,25-48m,1.188,1,positive,1,2.3,1,1,0,0,0,1,0,0,1,3,3,2,0.4469,Medium
CUST-00101,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Two year,Yes,Credit card (automatic),57.44,4125.17,0.621,contract_confusion,0,49-72m,0.798,3,positive,0,0.6,1,0,0,1,1,0,0,2,2,3,1,2,0.3065,Medium
CUST-00102,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,Two year,No,Credit card (automatic),74.69,4061.8,0.283,none,0,49-72m,1.358,1,neutral,0,0.0,0,0,0,1,0,0,0,2,0,3,0,1,0.1104,Low
CUST-00103,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,54.0,1391.05,0.803,none,1,25-48m,2.077,4,positive,0,2.0,0,1,1,1,1,0,1,0,1,0,0,2,0.7772,High
CUST-00104,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),35.9,512.84,0.433,none,0,13-24m,2.564,2,positive,0,2.1,0,0,0,1,0,0,1,0,2,2,0,2,0.893,High
CUST-00105,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.61,3952.82,0.183,none,0,49-72m,0.862,3,neutral,0,1.5,0,0,0,1,1,0,0,0,0,2,0,1,0.4878,Medium
CUST-00106,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),32.42,2047.06,0.896,service_outage,0,49-72m,0.515,1,positive,1,0.8,0,0,1,1,0,0,0,1,0,2,2,2,0.4757,Medium
